title,original_title,popularity,vote_average,vote_count,release_date
"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",29.817,8.068,10045,2017-12-01
Ayla: The Daughter of War,Ayla,19.527,8.1,352,2017-10-27
Ran,乱,26.522,8.067,1531,1985-06-01
A Dog's Journey,A Dog's Journey,41.107,8.065,1495,2019-05-03
The Thing,The Thing,56.369,8.1,6944,1982-06-25
Memories of Murder,살인의 추억,34.865,8.1,3787,2003-05-02
A Special Day,Una giornata particolare,14.046,8.1,657,1977-08-11
Hidden Figures,Hidden Figures,56.348,8.059,9671,2016-12-10
How to Train Your Dragon: Homecoming,How to Train Your Dragon: Homecoming,40.753,8.1,944,2019-12-03
Judgment at Nuremberg,Judgment at Nuremberg,17.649,8.1,774,1961-12-18
The Grand Budapest Hotel,The Grand Budapest Hotel,46.712,8.05,14733,2014-02-26
The Young and the Damned,Los olvidados,15.012,8.0,476,1950-12-09
Bo Burnham: Inside,Bo Burnham: Inside,13.959,8.052,483,2021-07-22
Paper Lives,Kağıttan Hayatlar,29.668,8.0,380,2021-03-12
My Name Is Khan,My Name Is Khan,27.644,8.0,1302,2010-02-10
Elite Squad,Tropa de Elite,31.131,8.0,2390,2007-10-12
Rocco and His Brothers,Rocco e i suoi fratelli,22.14,8.0,584,1960-10-07
The Second Mother,Que Horas Ela Volta?,15.954,8.04,717,2015-06-04
The 400 Blows,Les Quatre Cents Coups,26.45,8.039,2129,1959-06-03
To Live,活着,18.504,8.0,310,1994-05-18
The Elephant Man,The Elephant Man,71.189,8.0,3459,1980-10-09
On My Skin,Sulla mia pelle,11.222,8.034,1849,2018-09-12
The Wolf of Wall Street,The Wolf of Wall Street,116.023,8.0,23875,2013-12-25
Gifted,Gifted,44.807,8.029,5458,2017-04-07
The Lives of Others,Das Leben der Anderen,24.73,8.0,3640,2006-03-23
Amadeus,Amadeus,34.212,8.0,4216,1984-09-19
The Wages of Fear,Le Salaire de la peur,20.837,8.0,936,1953-04-22
Society of the Snow,La sociedad de la nieve,46.992,8.024,2877,2023-12-15
"Veinteañera, divorciada y fantástica","Veinteañera, divorciada y fantástica",6.954,8.0,387,2020-02-14
"Toto, Peppino, and the Hussy","Totò, Peppino e la... malafemmina",10.839,8.023,342,1956-08-23
The Sting,The Sting,22.852,8.0,2587,1973-12-25
Scooby-Doo! and KISS: Rock and Roll Mystery,Scooby-Doo! and KISS: Rock and Roll Mystery,19.57,8.0,315,2015-07-09
Room,Room,37.53,8.021,9113,2015-10-16
Flipped,Flipped,61.653,8.02,2991,2010-08-06
Requiem for a Dream,Requiem for a Dream,19.773,8.02,9905,2000-10-06
Simone: Woman of the Century,"Simone, le voyage du siècle",12.683,8.0,324,2022-10-12
Jojo Rabbit,Jojo Rabbit,34.356,8.0,9488,2019-10-18
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,130.762,8.0,21483,2004-05-31
Dial M for Murder,Dial M for Murder,21.394,8.0,2573,1954-05-29
All Your Faces,Je verrai toujours vos visages,13.572,8.017,545,2023-03-29
El mesero,El mesero,11.503,8.0,349,2021-07-15
For a Few Dollars More,Per qualche dollaro in più,35.51,8.0,3935,1965-12-18
Black Beauty,Black Beauty,19.98,8.0,335,2020-11-27
Bo Burnham: Make Happy,Bo Burnham: Make Happy,13.202,8.0,372,2016-06-03
American Beauty,American Beauty,34.586,8.016,11988,1999-09-15
Beyond the Universe,Depois do Universo,16.533,8.014,317,2022-10-27
"Rome, Open City",Roma città aperta,18.983,8.0,873,1945-10-08
Cruella,Cruella,71.799,8.011,9283,2021-05-26
Citizen Kane,Citizen Kane,36.495,8.007,5487,1941-04-17
"Love, Simon","Love, Simon",28.836,8.0,6010,2018-02-16
Kill Bill: The Whole Bloody Affair,Kill Bill: The Whole Bloody Affair,28.365,8.0,998,2011-03-27
Ford v Ferrari,Ford v Ferrari,63.718,8.006,7911,2019-11-13
